V1,Qx_random,Qx_strat,p_random,p_strat,REP
Tm-c.p,0.0256122879370332,0.0409900859103848,0.872850829003862,0.839557059980171,M19
Tm-nc,0.0139443588688228,0.408239997021838,0.905999330109508,0.522864167720721,M19
c,0.211752605104864,1.16087707119045,0.645397184565004,0.28128371784597,M20
c.p,0.211752605104864,1.16087707119045,0.645397184565004,0.28128371784597,M20
nc,2.07897098179667,2.9475504915458,0.149340823272591,0.0860078296808894,M20
Tm-c,0.42980864623298,1.36749653328662,0.512082857550892,0.242242480012202,M20
Tm-c.p,0.42980864623298,1.36749653328662,0.512082857550892,0.242242480012202,M20
Tm-nc,5.32669168568293,0.294594849024984,0.0210012128570115,0.587290977397815,M20
c,0.34584444844605,0.00422380758941813,0.556474966227796,0.948181303837396,M21
c.p,0.34584444844605,0.00422380758941813,0.556474966227796,0.948181303837396,M21
nc,0.0721983765124159,0.0347647447553033,0.788162432799788,0.852089483541486,M21
Tm-c,0.0761592279746118,1.00798669528653,0.782571404618942,0.315385648072543,M21
Tm-c.p,0.0761592279746118,1.00798669528653,0.782571404618942,0.315385648072543,M21
Tm-nc,0.417545447175871,0.646967790702464,0.518164366316935,0.421198864101108,M21
c,2.10605766032466,2.03568204574294,0.146716866633812,0.153645249985016,M22
c.p,2.10605766032466,2.03568204574294,0.146716866633812,0.153645249985016,M22
nc,0.635367769533397,3.50154863475853,0.42539318967226,0.0613114711992067,M22
Tm-c,2.69681590722851,2.70647033934685,0.100548873855896,0.0999419008652394,M22
Tm-c.p,2.69681590722851,2.70647033934685,0.100548873855896,0.0999419008652394,M22
Tm-nc,2.51724326866819,3.30346510004998,0.112607287835992,0.0691339033797739,M22
c,2.23108232130039,0.479532696630312,0.135259070179874,0.488634062111336,M23
c.p,2.23108232130039,0.479532696630312,0.135259070179874,0.488634062111336,M23
nc,0.0021937509199665,0.347449784608836,0.962642745276454,0.555560307329354,M23
Tm-c,2.6833903439089,0.555507970550282,0.101399642365589,0.45607583297422,M23
Tm-c.p,2.6833903439089,0.555507970550282,0.101399642365589,0.45607583297422,M23
Tm-nc,0.0519955060574751,1.66504183472266,0.819626625522631,0.196923958091234,M23
c,0.497493498635891,1.22498025018472,0.480603532342258,0.268385485660202,M24
c.p,0.497493498635891,1.22498025018472,0.480603532342258,0.268385485660202,M24
nc,0.305663289127228,0.269821702773138,0.580353637658151,0.603451400636217,M24
Tm-c,0.184816040269271,0.326357160603503,0.667266667712838,0.567812038349474,M24
Tm-c.p,0.184816040269271,0.326357160603503,0.667266667712838,0.567812038349474,M24
Tm-nc,1.05733980938231,0.258069535896593,0.303822697803678,0.611449522068126,M24
c,1.20608169071287,3.16063803078978,0.272109523726613,0.0754336962302697,M25
c.p,1.20608169071287,3.16063803078978,0.272109523726613,0.0754336962302697,M25
nc,0.198765007388065,0.858292181949313,0.655719548523079,0.354217053994993,M25
Tm-c,2.0733803892979,0.890691572849655,0.149888974520458,0.345289967035184,M25
Tm-c.p,2.0733803892979,0.890691572849655,0.149888974520458,0.345289967035184,M25
Tm-nc,0.77743016160302,0.634837497926959,0.377928241776318,0.425586420187704,M25
c,1.97335663545315,3.03347803434255,0.160092024355253,0.081563005922063,M26
c.p,1.97335663545315,3.03347803434255,0.160092024355253,0.081563005922063,M26
nc,0.00330434762994601,5.11778627102388,0.954160085095439,0.0236818087327608,M26
Tm-c,0.7061437889054,2.04260385428306,0.400726960597435,0.152947640892772,M26
Tm-c.p,0.7061437889054,2.04260385428306,0.400726960597435,0.152947640892772,M26
Tm-nc,0.710071611889879,1.32207399074927,0.399420039509972,0.250220173158578,M26
c,0.429232843256703,2.02666761095705,0.512365620620384,0.154559177812744,M27
c.p,0.429232843256703,2.02666761095705,0.512365620620384,0.154559177812744,M27
nc,0.189200939644081,0.0716220908546519,0.663582502162269,0.788989495306054,M27
Tm-c,0.0505733763771615,2.32764278367629,0.82206854298323,0.127094206047788,M27
Tm-c.p,0.0505733763771615,2.32764278367629,0.82206854298323,0.127094206047788,M27
Tm-nc,0.453958072732395,0.0661799533595868,0.500461297252994,0.796982200958516,M27
c,0.117510918150629,0.94846054026129,0.731749937563244,0.33011146331986,M28
c.p,0.117510918150629,0.94846054026129,0.731749937563244,0.33011146331986,M28
nc,0.184844213849572,6.64418189335007,0.667242831877659,0.00994801481651906,M28
Tm-c,0.670394701192493,2.25273515432479,0.41291403009173,0.133378468541509,M28
Tm-c.p,0.670394701192493,2.25273515432479,0.41291403009173,0.133378468541509,M28
Tm-nc,0.00647316899812884,2.43869887073914,0.935874584402678,0.118374376867959,M28
c,0.1940974797719,0.0445432186781348,0.659527978208246,0.832846192188041,M29
c.p,0.1940974797719,0.0445432186781348,0.659527978208246,0.832846192188041,M29
nc,0.00839509543383199,1.35282940431705,0.926996183810465,0.244784084974126,M29
Tm-c,0.753744661401626,0.259562136633988,0.385293232431135,0.610421132436993,M29
Tm-c.p,0.753744661401626,0.259562136633988,0.385293232431135,0.610421132436993,M29
Tm-nc,1.19589883104373,1.49434797804864,0.274142913271115,0.221543070055135,M29
c,0.0488351112093918,1.00854329788076,0.825102807114455,0.315252072823362,M30
c.p,0.0488351112093918,1.00854329788076,0.825102807114455,0.315252072823362,M30
nc,0.759907926450806,2.33770426650289,0.383357338363307,0.126275529105133,M30
Tm-c,0.00308270463437333,0.770772326167204,0.95572251634631,0.379978233051745,M30
Tm-c.p,0.00308270463437333,0.770772326167204,0.95572251634631,0.379978233051745,M30
Tm-nc,0.119975286291012,0.102682980901204,0.729061295090362,0.748633402991954,M30
c,0.909318713807635,3.39292206653508,0.340295248622212,0.0654768148755137,M31
c.p,0.909318713807635,3.39292206653508,0.340295248622212,0.0654768148755137,M31
nc,0.00682958992926593,2.03230914689825,0.934136734637748,0.153986491597773,M31
Tm-c,0.749118634307606,1.37119672736503,0.386755419896329,0.241606375787866,M31
Tm-c.p,0.749118634307606,1.37119672736503,0.386755419896329,0.241606375787866,M31
Tm-nc,1.36034142012626,0.366277648890771,0.243478319274608,0.545040292880858,M31
c,0.320154980955085,0.748022040286782,0.571514521967573,0.387103187960725,M32
c.p,0.320154980955085,0.748022040286782,0.571514521967573,0.387103187960725,M32
nc,0.0537609738277434,0.0142831126541965,0.81664354705262,0.90486975174439,M32
Tm-c,0.139083588110295,2.26103932519678,0.709193754548537,0.132664999148537,M32
Tm-c.p,0.139083588110295,2.26103932519678,0.709193754548537,0.132664999148537,M32
Tm-nc,0.684130480592648,0.178273113796155,0.408168026275194,0.672861518639356,M32
c,2.3310808435044,0.140479016407503,0.126813797881185,0.707805268841317,M33
c.p,2.3310808435044,0.140479016407503,0.126813797881185,0.707805268841317,M33
nc,0.124581922658213,1.51500943534441,0.724117195273703,0.218376279392058,M33
Tm-c,4.98311198741617,0.0264642191755883,0.0255959008541625,0.870771757941785,M33
Tm-c.p,4.98311198741617,0.0264642191755883,0.0255959008541625,0.870771757941785,M33
Tm-nc,1.9959761402035,0.12038481415037,0.157717421530165,0.728617501800755,M33
c,1.34974106846261,0.194258112998963,0.24532338866242,0.659396006601619,M34
c.p,1.34974106846261,0.194258112998963,0.24532338866242,0.659396006601619,M34
nc,7.1146133568265,2.36679062169306,0.00764580924340266,0.123941625147136,M34
Tm-c,1.81767362056736,0.0222835752781494,0.17759044177661,0.881335188661525,M34
Tm-c.p,1.81767362056736,0.0222835752781494,0.17759044177661,0.881335188661525,M34
Tm-nc,6.07169011655297,4.73549093517388,0.0137365458009386,0.0295464145152408,M34
c,0.141982952256831,0.0110756374294868,0.70631759351509,0.916184693596812,M35
c.p,0.141982952256831,0.0110756374294868,0.70631759351509,0.916184693596812,M35
nc,0.223680750420869,3.45979966503123,0.636249569758363,0.0628779326958687,M35
Tm-c,0.0840933506054794,0.107147718336877,0.771825008446369,0.743415082043348,M35
Tm-c.p,0.0840933506054794,0.107147718336877,0.771825008446369,0.743415082043348,M35
Tm-nc,0.0220802001310894,0.179107833036454,0.881873945898347,0.672141078367367,M35
c,0.208479524375659,0.766995289793911,0.647961756192264,0.381148191500009,M36
c.p,0.208479524375659,0.766995289793911,0.647961756192264,0.381148191500009,M36
nc,0.272759465146634,0.359754362651392,0.601486677830356,0.548642687838594,M36
Tm-c,0.0695196778117381,0.392404157467855,0.792037416181087,0.53103837406504,M36
Tm-c.p,0.0695196778117381,0.392404157467855,0.792037416181087,0.53103837406504,M36
Tm-nc,1.37271663453161,1.65921002761264,0.24134567618865,0.197710018097208,M36
c,0.200456523986921,0.148982370266497,0.654352605100492,0.699509744580954,M37
c.p,0.200456523986921,0.148982370266497,0.654352605100492,0.699509744580954,M37
nc,0.503760673958324,0.979845489056802,0.477852358952056,0.322236955400855,M37
Tm-c,0.290811804525645,0.81253858496853,0.589700775959413,0.367370780101506,M37
Tm-c.p,0.290811804525645,0.81253858496853,0.589700775959413,0.367370780101506,M37
Tm-nc,0.00117568172001904,1.45541087703507,0.972647322039047,0.227661712029295,M37
c,0.208652075687573,3.69981190268212,0.647825950708704,0.0544186024038379,M38
c.p,0.208652075687573,3.69981190268212,0.647825950708704,0.0544186024038379,M38
nc,1.69645102634261,0.512842488293091,0.192752760245107,0.47391094687855,M38
Tm-c,0.621287838592896,5.49789843116141,0.430569119374839,0.0190393418843465,M38
Tm-c.p,0.621287838592896,5.49789843116141,0.430569119374839,0.0190393418843465,M38
Tm-nc,3.35973444290138,0.123714272370058,0.0668088410873597,0.72504046171704,M38
