rep	case	h2	env	ts	ts_magnitude
L49	C1	diff-0.3	env-1.0	p-0.50	-0.161713484564856
L50	C1	diff-0.3	env-1.0	p-0.50	0.107297184858284
L51	C1	diff-0.3	env-1.0	p-0.50	0.107472303020505
L52	C1	diff-0.3	env-1.0	p-0.50	-0.0813576484773564
L53	C1	diff-0.3	env-1.0	p-0.50	0.0437831492314916
L54	C1	diff-0.3	env-1.0	p-0.50	-0.123949941078106
L55	C1	diff-0.3	env-1.0	p-0.50	-0.0396700995357793
L56	C1	diff-0.3	env-1.0	p-0.50	0.0758222650382694
L57	C1	diff-0.3	env-1.0	p-0.50	-0.231400079839482
L58	C1	diff-0.3	env-1.0	p-0.50	-0.0794956628654883
L59	C1	diff-0.3	env-1.0	p-0.50	-0.0363429363561828
L60	C1	diff-0.3	env-1.0	p-0.50	-0.0828540703802464
L61	C1	diff-0.3	env-1.0	p-0.50	-0.0377418675701895
L62	C1	diff-0.3	env-1.0	p-0.50	0.131300244708724
L63	C1	diff-0.3	env-1.0	p-0.50	0.135184906989727
L64	C1	diff-0.3	env-1.0	p-0.50	0.0779585702838149
L65	C1	diff-0.3	env-1.0	p-0.50	0.0701564370960871
L66	C1	diff-0.3	env-1.0	p-0.50	-0.154937011082546
L67	C1	diff-0.3	env-1.0	p-0.50	-0.0313910212471464
L68	C1	diff-0.3	env-1.0	p-0.50	-0.134235809733997
L69	C1	diff-0.3	env-1.0	p-0.50	-0.074776021684386
L70	C1	diff-0.3	env-1.0	p-0.50	0.00180043353574222
L71	C1	diff-0.3	env-1.0	p-0.50	-0.261379448594267
L72	C1	diff-0.3	env-1.0	p-0.50	0.106564371236181
L73	C1	diff-0.3	env-1.0	p-0.50	-0.0546930444404888
L74	C1	diff-0.3	env-1.0	p-0.50	0.0290790956002013
L75	C1	diff-0.3	env-1.0	p-0.50	-0.106372612223036
L76	C1	diff-0.3	env-1.0	p-0.50	0.118256864463418
L77	C1	diff-0.3	env-1.0	p-0.50	-0.0664164610442108
L78	C1	diff-0.3	env-1.0	p-0.50	-0.286502470356213
L79	C1	diff-0.3	env-1.0	p-0.50	0.0805354059484331
L80	C1	diff-0.3	env-1.0	p-0.50	0.309839423421433
L81	C1	diff-0.3	env-1.0	p-0.50	-0.0392667729326404
L82	C1	diff-0.3	env-1.0	p-0.50	-0.131680617753761
L83	C1	diff-0.3	env-1.0	p-0.50	0.133502791178426
L84	C1	diff-0.3	env-1.0	p-0.50	-0.0685457326415564
L85	C1	diff-0.3	env-1.0	p-0.50	0.057059159896925
L86	C1	diff-0.3	env-1.0	p-0.50	0.00642437933052287
L87	C1	diff-0.3	env-1.0	p-0.50	-0.0311243695000573
L88	C1	diff-0.3	env-1.0	p-0.50	-0.0334810782636698
L89	C1	diff-0.3	env-1.0	p-0.50	-0.119359701976937
L90	C1	diff-0.3	env-1.0	p-0.50	0.00140012314820601
L91	C1	diff-0.3	env-1.0	p-0.50	0.287397976273564
L92	C1	diff-0.3	env-1.0	p-0.50	-0.0522405873261498
L93	C1	diff-0.3	env-1.0	p-0.50	-0.0572375663921644
L94	C1	diff-0.3	env-1.0	p-0.50	0.0929522845093563
L95	C1	diff-0.3	env-1.0	p-0.50	-0.00239126147634983
L96	C1	diff-0.3	env-1.0	p-0.50	0.158822176865541
L97	C1	diff-0.3	env-1.0	p-0.50	-0.111852236656051
L98	C1	diff-0.3	env-1.0	p-0.50	0.05226081234293
L99	C1	diff-0.3	env-1.0	p-0.50	0.102922920795587
L100	C1	diff-0.3	env-1.0	p-0.50	-0.0510524044139634
L1	C1	same-0.3	env-0.0	p-0.55	0.171720232567008
L2	C1	same-0.3	env-0.0	p-0.55	0.154149902136998
L3	C1	same-0.3	env-0.0	p-0.55	0.144742766259687
L4	C1	same-0.3	env-0.0	p-0.55	0.217469434524973
L5	C1	same-0.3	env-0.0	p-0.55	-0.0135078528200009
L6	C1	same-0.3	env-0.0	p-0.55	-0.00513248211560635
L7	C1	same-0.3	env-0.0	p-0.55	0.00296104675761322
L8	C1	same-0.3	env-0.0	p-0.55	0.187701951800363
L9	C1	same-0.3	env-0.0	p-0.55	0.184799479737711
L10	C1	same-0.3	env-0.0	p-0.55	0.0647495623610926
L11	C1	same-0.3	env-0.0	p-0.55	0.0487744685198407
L12	C1	same-0.3	env-0.0	p-0.55	0.011545827553918
L13	C1	same-0.3	env-0.0	p-0.55	0.0356327490052844
L14	C1	same-0.3	env-0.0	p-0.55	0.18346494544984
L15	C1	same-0.3	env-0.0	p-0.55	-0.0458603664078964
