rep	case	h2	env	ts	Qx	P-Chi	P-EN
L85	C1	same-0.3	env-1.0	p-0.50	0.619997869540398	0.431048077653673	0.431
L86	C1	same-0.3	env-1.0	p-0.50	0.0949601148897588	0.757963637955626	0.772
L87	C1	same-0.3	env-1.0	p-0.50	0.0777221404010013	0.780408361737089	0.727
L88	C1	same-0.3	env-1.0	p-0.50	0.0152909804544948	0.901587093638186	0.893
L89	C1	same-0.3	env-1.0	p-0.50	1.29948367827318	0.25430755723853	0.213
L90	C1	same-0.3	env-1.0	p-0.50	0.0520140916551745	0.819594946469609	0.825
L91	C1	same-0.3	env-1.0	p-0.50	0.00184397392351176	0.965748153093792	0.966
L92	C1	same-0.3	env-1.0	p-0.50	1.09913826668982	0.294455296532655	0.258
L93	C1	same-0.3	env-1.0	p-0.50	6.2311160706876	0.0125524597570219	0.025
L94	C1	same-0.3	env-1.0	p-0.50	0.0266661155635766	0.870284100807642	0.836
L95	C1	same-0.3	env-1.0	p-0.50	0.0721622166335519	0.788214223758809	0.797
L96	C1	same-0.3	env-1.0	p-0.50	0.188800945254767	0.663916459520164	0.698
L97	C1	same-0.3	env-1.0	p-0.50	2.40284986900958	0.121114430694721	0.123
L98	C1	same-0.3	env-1.0	p-0.50	0.269078473447451	0.603950610915403	0.589
L99	C1	same-0.3	env-1.0	p-0.50	0.737828818689835	0.390357273782448	0.413
L100	C1	same-0.3	env-1.0	p-0.50	0.00866492358210282	0.92583558010638	0.935
L1	C1	diff-0.3	env-1.0	p-0.50	0.331667277378362	0.564678980118962	0.595
L2	C1	diff-0.3	env-1.0	p-0.50	0.000198469515384846	0.988759837223414	0.988
L3	C1	diff-0.3	env-1.0	p-0.50	2.43777412261962	0.118444190348426	0.077
L4	C1	diff-0.3	env-1.0	p-0.50	2.7800064214541	0.095447785823833	0.096
L5	C1	diff-0.3	env-1.0	p-0.50	0.936701922175718	0.333127468672256	0.334
L6	C1	diff-0.3	env-1.0	p-0.50	0.0429949631046666	0.835734756941985	0.842
L7	C1	diff-0.3	env-1.0	p-0.50	0.75773717751427	0.3840375961364	0.324
L8	C1	diff-0.3	env-1.0	p-0.50	0.00706442748183124	0.933016559966385	0.941
L9	C1	diff-0.3	env-1.0	p-0.50	0.544951706059162	0.460387792748744	0.481
L10	C1	diff-0.3	env-1.0	p-0.50	0.337069526965801	0.561525650396114	0.541
L11	C1	diff-0.3	env-1.0	p-0.50	0.428244255743061	0.512851725100323	0.498
L12	C1	diff-0.3	env-1.0	p-0.50	1.0392209618422	0.308002724798651	0.248
L13	C1	diff-0.3	env-1.0	p-0.50	1.56440548138933	0.211021337160417	0.249
L14	C1	diff-0.3	env-1.0	p-0.50	2.51946514995656	0.112448718614979	0.067
L15	C1	diff-0.3	env-1.0	p-0.50	1.13625396619193	0.286445277121352	0.28
L16	C1	diff-0.3	env-1.0	p-0.50	2.23749095705357	0.134699393135261	0.116
L17	C1	diff-0.3	env-1.0	p-0.50	0.877821161676712	0.348799140838878	0.314
L18	C1	diff-0.3	env-1.0	p-0.50	1.35949438741732	0.243625127873537	0.192
L19	C1	diff-0.3	env-1.0	p-0.50	0.668551508769629	0.413557073219777	0.391
L20	C1	diff-0.3	env-1.0	p-0.50	0.416381711224539	0.518748044024298	0.549
L21	C1	diff-0.3	env-1.0	p-0.50	0.0773344338212598	0.780942739585257	0.778
L22	C1	diff-0.3	env-1.0	p-0.50	0.0347732890653963	0.852071517977042	0.886
L23	C1	diff-0.3	env-1.0	p-0.50	0.438370343357012	0.507910071755454	0.414
L24	C1	diff-0.3	env-1.0	p-0.50	1.17658215146027	0.278052901526173	0.201
L25	C1	diff-0.3	env-1.0	p-0.50	0.00254598197223853	0.959757637344104	0.954
L26	C1	diff-0.3	env-1.0	p-0.50	0.00311073200877533	0.955521898160269	0.948
L27	C1	diff-0.3	env-1.0	p-0.50	2.75127198616587	0.0971770922277783	0.074
L28	C1	diff-0.3	env-1.0	p-0.50	2.74893431578815	0.0973192732356772	0.076
L29	C1	diff-0.3	env-1.0	p-0.50	0.0748424026549541	0.784412481667712	0.791
L30	C1	diff-0.3	env-1.0	p-0.50	0.993961555437494	0.318776059501585	0.331
L31	C1	diff-0.3	env-1.0	p-0.50	1.16332204140568	0.280777642253372	0.315
L32	C1	diff-0.3	env-1.0	p-0.50	1.97315013783923	0.160113889237716	0.16
L33	C1	diff-0.3	env-1.0	p-0.50	2.43778393590876	0.118443449259195	0.134
L34	C1	diff-0.3	env-1.0	p-0.50	0.81884794611376	0.365517214735762	0.368
L35	C1	diff-0.3	env-1.0	p-0.50	1.21943147592157	0.26947225394884	0.309
L36	C1	diff-0.3	env-1.0	p-0.50	1.90466257361242	0.16755735590881	0.085
L37	C1	diff-0.3	env-1.0	p-0.50	4.00161245947089	0.0454567566998002	0.057
L38	C1	diff-0.3	env-1.0	p-0.50	0.559274573319621	0.454552675721981	0.575
L39	C1	diff-0.3	env-1.0	p-0.50	0.0151532722956851	0.902028997457664	0.889
L40	C1	diff-0.3	env-1.0	p-0.50	1.09624180094359	0.295092353751714	0.242
L41	C1	diff-0.3	env-1.0	p-0.50	0.0262191809465066	0.871366191307575	0.862
L42	C1	diff-0.3	env-1.0	p-0.50	0.00231911564598239	0.961590962237788	0.965
L43	C1	diff-0.3	env-1.0	p-0.50	1.61065488555912	0.204399769811825	0.254
L44	C1	diff-0.3	env-1.0	p-0.50	1.43051061765015	0.231681123499455	0.252
L45	C1	diff-0.3	env-1.0	p-0.50	0.427253888484392	0.513339508896302	0.56
L46	C1	diff-0.3	env-1.0	p-0.50	2.06317904013355	0.150895078958545	0.202
L47	C1	diff-0.3	env-1.0	p-0.50	0.0663799295517787	0.796682419391711	0.807
L48	C1	diff-0.3	env-1.0	p-0.50	0.16509733377007	0.684506234154608	0.635
L49	C1	diff-0.3	env-1.0	p-0.50	1.89540134501049	0.16859395933125	0.218
L50	C1	diff-0.3	env-1.0	p-0.50	1.1577742080816	0.281927628799999	0.38
L51	C1	diff-0.3	env-1.0	p-0.50	1.06253638103656	0.302637407365024	0.326
L52	C1	diff-0.3	env-1.0	p-0.50	0.715656208071222	0.397572458604083	0.36
L53	C1	diff-0.3	env-1.0	p-0.50	0.141606967623549	0.706688666625721	0.752
