rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
C25	C1	h2-0.0	p-0.50	env_0.0	0.170188584603426	0.679944260955212	0.668	c.p
C25	C1	h2-0.0	p-0.50	env_0.0	1.69127707447533	0.193432708181728	0.212	nc
C25	C1	h2-0.0	p-0.50	env_0.0	0.280278410874709	0.596518794451198	0.594	c-Tm
C25	C1	h2-0.0	p-0.50	env_0.0	0.280278410874709	0.596518794451198	0.611	c.p-Tm
C25	C1	h2-0.0	p-0.50	env_0.0	0.649489292166352	0.420295330101551	0.416	nc-Tm
C25	C1	h2-0.0	p-0.50	env_0.0	0.236910455018983	0.626446506458254	0.643	c-ID
C25	C1	h2-0.0	p-0.50	env_0.0	0.236910455018983	0.626446506458254	0.651	c.p-ID
C25	C1	h2-0.0	p-0.50	env_0.0	1.39233866673338	0.238010551559607	0.241	nc-ID
C25	C1	h2-0.0	p-0.50	env_0.0			1	True
C26	C1	h2-0.0	p-0.50	env_0.0	0.00422005718685999	0.948204282013038	0.953	c
C26	C1	h2-0.0	p-0.50	env_0.0	0.00422005718685999	0.948204282013038	0.953	c.p
C26	C1	h2-0.0	p-0.50	env_0.0	1.52937643030855	0.216206055557424	0.221	nc
C26	C1	h2-0.0	p-0.50	env_0.0	0.0940479785291273	0.759092717881772	0.794	c-Tm
C26	C1	h2-0.0	p-0.50	env_0.0	0.0940479785291273	0.759092717881772	0.753	c.p-Tm
C26	C1	h2-0.0	p-0.50	env_0.0	0.885890476776212	0.346593384739501	0.348	nc-Tm
C26	C1	h2-0.0	p-0.50	env_0.0	0.0608825299525796	0.805106464323985	0.815	c-ID
C26	C1	h2-0.0	p-0.50	env_0.0	0.0608825299525796	0.805106464323985	0.821	c.p-ID
C26	C1	h2-0.0	p-0.50	env_0.0	0.917155974629474	0.338222830166771	0.34	nc-ID
C26	C1	h2-0.0	p-0.50	env_0.0			1	True
C27	C1	h2-0.0	p-0.50	env_0.0	2.05189042679092	0.152017331586034	0.106	c
C27	C1	h2-0.0	p-0.50	env_0.0	2.05189042679092	0.152017331586034	0.106	c.p
C27	C1	h2-0.0	p-0.50	env_0.0	0.00543161417259371	0.941249508136846	0.941	nc
C27	C1	h2-0.0	p-0.50	env_0.0	2.39838980037747	0.121460212510592	0.085	c-Tm
C27	C1	h2-0.0	p-0.50	env_0.0	2.39838980037747	0.121460212510592	0.09	c.p-Tm
C27	C1	h2-0.0	p-0.50	env_0.0	0.0415700152012854	0.838441600227724	0.825	nc-Tm
C27	C1	h2-0.0	p-0.50	env_0.0	2.54742126889188	0.110474436846987	0.077	c-ID
C27	C1	h2-0.0	p-0.50	env_0.0	2.54742126889188	0.110474436846987	0.078	c.p-ID
C27	C1	h2-0.0	p-0.50	env_0.0	0.343998018915712	0.557530530390819	0.545	nc-ID
C27	C1	h2-0.0	p-0.50	env_0.0			1	True
C28	C1	h2-0.0	p-0.50	env_0.0	3.74546529134993	0.0529509828745228	0.061	c
C28	C1	h2-0.0	p-0.50	env_0.0	3.74546529134993	0.0529509828745228	0.066	c.p
C28	C1	h2-0.0	p-0.50	env_0.0	0.0031224113858274	0.955438565620177	0.965	nc
C28	C1	h2-0.0	p-0.50	env_0.0	2.05024799673097	0.152181399178565	0.16	c-Tm
C28	C1	h2-0.0	p-0.50	env_0.0	2.05024799673097	0.152181399178565	0.18	c.p-Tm
C28	C1	h2-0.0	p-0.50	env_0.0	0.372897136608021	0.541429300148248	0.594	nc-Tm
C28	C1	h2-0.0	p-0.50	env_0.0	3.21646217865663	0.0729010309985094	0.074	c-ID
C28	C1	h2-0.0	p-0.50	env_0.0	3.21646217865663	0.0729010309985094	0.086	c.p-ID
C28	C1	h2-0.0	p-0.50	env_0.0	0.0498762860997161	0.823278685080299	0.854	nc-ID
C28	C1	h2-0.0	p-0.50	env_0.0			1	True
C29	C1	h2-0.0	p-0.50	env_0.0	0.414038739557241	0.519926686001151	0.479	c
C29	C1	h2-0.0	p-0.50	env_0.0	0.414038739557241	0.519926686001151	0.451	c.p
C29	C1	h2-0.0	p-0.50	env_0.0	0.00117376912843037	0.972669570966035	0.973	nc
